Number,Year,Month,States Affected and Category by States,Highest Saffir-Simpson Category (U.S.),Central Pressure,Maximum Winds,Name
61,1885,Aug,"SC, 3; NC, 2; GA, 1; FL, NE1",3,953,90,-----
62,1886,Jun,"TX, N2; LA, 2",2,973,85,-----
63,1886,Jun,"FL, NW2; GA, 1",2,973,85,-----
64,1886,Jun,"FL, NW2",2,973,85,-----
65,1886,Jul,"FL, NW1",1,985,70,-----
66,1886,Aug,"TX, C4",4,925,130,"""Indianola"""
67,1886,Sep #,"TX, S1, C1",1,973,80,-----
68,1886,Oct,"LA, 3; TX, N2",3,955,105,-----
69,1887,Jul,"FL, NW1",1,981,75,-----
70,1887,Aug *,"NC, 1",1,946,65,-----
71,1887,Sep,"TX, S2",2,973,75,-----
72,1887,Oct,"LA, 1",1,981,75,-----
73,1888,Jun,"TX, C1",1,985,70,-----
74,1888,Aug,"FL, SE3, SW1; LA2",3,945,110,-----
75,1888,Sep,"MA, TS",TS,985,70,-----
76,1888,Oct,"FL, NW2, NE1",2,970,95,-----
77,1889,Sep,"LA, 1",1,985,70,-----
78,1891,Jul,"TX, C1, N1",1,977,80,-----
79,1891,Aug,"FL, SE1",1,985,70,-----
80,1893,Aug,"NY, 1; VA, 1",1,986,75,"""Midnight Storm"""
81,1893,Aug,"GA, 3; SC, 3; NC, 1; FL, NE1",3,954,100,"""Sea Islands"""
82,1893,Sep,"LA, 2",2,973,85,-----
83,1893,Oct,"LA, 4; MS, 2; AL, 2",4,948,115,"""Chenier Caminanda"""
84,1893,Oct,"SC, 3; NC, 2; VA, 1",3,955,105,-----
85,1894,Sep,"FL, SW2, NE1; SC, 1; VA, 1",2,975,90,-----
86,1894,Oct,"FL, NW3; GA, 1; NY, 1; RI, 1",3,955,105,-----
87,1895,Aug #,"TX, S1",1,973,65,-----
88,1896,Jul,"FL, NW2",2,973,85,-----
89,1896,Sep,"RI, 1; MA, 1",1,985,70,-----
90,1896,Sep,"FL, NW3, NE3; GA, 2; SC, 1; NC, 1; VA, 1",3,960,110,-----
91,1897,Sep,"LA, 1; TX, N1",1,981,75,-----
92,1898,Aug,"FL, NW1",1,985,70,-----
93,1898,Aug,"GA, 1; SC, 1",1,980,75,-----
94,1898,Oct,"GA, 4; FL, NE2",4,938,115,-----
95,1899,Aug,"FL, NW2",2,979,85,-----
96,1899,Aug,"NC, 3",3,945,105,-----
97,1899,Oct,"NC, 2; SC, 2",2,955,95,-----
98,1900,Sep,"TX, N4",4,936,120,"""Galveston"""
99,1901,Jul,"NC, 1",1,983,70,-----
100,1901,Aug,"LA, 1; MS, 1; AL, 1",1,973,75,-----
101,1903,Sep,"FL, SE1, NW1",1,976,80,-----
102,1903,Sep,"NJ, 1; DE, 1",1,990,70,-----
103,1904,Sep,"SC, 1",1,985,70,-----
104,1904,Oct,"FL, SE1",1,985,70,-----
105,1906,Jun,"FL, SW1, SE1",1,979,75,-----
106,1906,Sep,"SC, 1; NC, 1",1,977,80,-----
107,1906,Sep,"MS, 2; AL, 2; FL, NW2; LA, 1",2,958,95,-----
108,1906,Oct,"FL, SW3, SE3",3,953,105,-----
109,1908,May,"NC, TS",TS,989,65,-----
110,1908,Jul,"NC, 1",1,985,70,-----
111,1909,Jun,"TX, S2",2,972,85,-----
112,1909,Jul,"TX, N3",3,959,100,"""Velasco"""
113,1909,Aug #,"TX, S1",1,955,65,-----
114,1909,Sep,"LA, 3; MS, 2",3,952,100,"""Grand Isle"""
115,1909,Oct,"FL, SW3, SE3",3,957,100,-----
116,1910,Sep,"TX, S2",2,965,90,-----
117,1910,Oct,"FL, SW2",2,955,95,-----
118,1911,Aug,"FL, NW1; AL,1",1,985,70,-----
119,1911,Aug,"SC, 2; GA, 1",2,972,85,-----
120,1912,Sep,"AL, 1; FL, NW1",1,988,65,-----
121,1912,Oct,"TX, S2",2,973,85,-----
122,1913,Jun,"TX, S1",1,988,65,-----
123,1913,Sep,"NC, 1",1,976,75,-----
124,1913,Oct,"SC, 1",1,989,65,-----
125,1915,Aug,"TX, N4",4,945,115,"""Galveston"""
126,1915,Sep,"FL, NW1",1,988,80,-----
127,1915,Sep,"LA, 4",4,931,110,"""New Orleans"""
128,1916,Jul,"MS, 3; AL, 3",3,948,105,-----
129,1916,Jul,"MA, 1",1,950,105,-----
130,1916,Jul,"SC, 1",1,960,95,-----
131,1916,Aug,"TX, S3",3,932,115,-----
132,1916,Oct,"AL, 2; FL, NW2",2,970,95,-----
133,1917,Sep,"FL, NW3",3,949,100,-----
134,1918,Aug,"LA, 3",3,955,105,-----
135,1918,Aug,"NC, 1",3,-----,65,-----
136,1919,Sep,"FL, SW4; TX, S4",4,927,130,-----
137,1920,Sep,"LA, 2",2,975,85,-----
138,1920,Sep,"NC, 1",1,-----,75,-----
139,1921,Jun,"TX, C2",2,980,80,-----
140,1921,Oct,"FL, SW3, NE2",3,958,100,"""Tampa Bay"""
141,1923,Oct,"LA, 1",1,983,70,-----
142,1924,Sep,"FL, NW1",1,980,75,-----
143,1924,Oct,"FL, SW1",1,975,80,-----
144,1926,Jul,"FL, NE2",2,967,90,-----
145,1926,Aug,"LA, 3",3,955,100,-----
146,1926,Sep,"FL, SE4, SW3, NW3; AL, 3",4,930,125,"""Great Miami"""
147,1928,Aug,"FL, SE2",2,977,85,-----
148,1928,Sep,"FL, SE4, NE2; GA, 1; SC, 1",4,929,125,"""Lake Okeechobee"""
149,1929,Jun,"TX, C1",1,982,80,-----
150,1929,Sep,"FL, SE3, NW2",3,948,100,-----
151,1932,Aug,"TX, N4",4,935,130,"""Freeport"""
152,1932,Sep,"AL, 1",1,979,75,-----
153,1933,July-Aug,"TX, S2; FL, SE1",2,988,65,-----
154,1933,Aug,"NC, 2; VA, 2",2,963,80,-----
155,1933,Sep,"TX, S3",3,940,110,-----
156,1933,Sep,"FL, SE3",3,948,110,-----
157,1933,Sep,"NC, 3",3,952,90,-----
158,1934,Jun,"LA, 3",3,966,85,-----
159,1934,Jul,"TX, S2",2,979,75,-----
160,1935,Sep,"FL, SW5, NW2",5,892,160,"""Labor Day"""
161,1935,Nov,"FL, SE2",2,973,85,-----
162,1936,Jun,"TX, S1",1,987,70,-----
163,1936,Jul,"FL, NW3",3,964,90,-----
164,1936,Sep,"NC, 2",2,962,85,-----
165,1938,Aug,"LA, 1",1,985,65,-----
166,1938,Sep,"NY, 3; CT, 3; RI, 3; MA, 3",3,941,105,"""New England"""
167,1939,Aug,"FL, SE1, NW1",1,985,65,-----
168,1940,Aug,"TX, N2; LA, 2",2,972,85,-----
169,1940,Aug,"GA, 2; SC, 2",2,972,85,-----
170,1941,Sep,"TX, N3",3,958,110,-----
171,1941,Oct,"FL, SE2, SW2, NW2",2,982,85,-----
172,1942,Aug,"TX, N1",1,992,65,-----
173,1942,Aug,"TX, C3",3,950,100,-----
174,1943,Jul,"TX, N2",2,967,90,-----
175,1944,Aug,"NC, 1",1,985,70,-----
176,1944,Sep,"NC, 3; VA, 3; NY, 3; CT, 3; RI, 3; MA, 2",3,954,90,-----
177,1944,Oct,"FL, SW3, NE2",3,962,90,-----
178,1945,Jun,"FL, NW1",1,985,70,-----
179,1945,Aug,"TX, C2",2,963,100,-----
180,1945,Sep,"FL, SE3",3,949,115,-----
181,1946,Oct,"FL, SW1",1,980,75,-----
182,1947,Aug,"TX, N1",1,984,70,-----
183,1947,Sep,"FL, SE4, SW2; MS, 3; LA, 3",4,954,105,-----
184,1947,Oct,"GA, 2; SC, 2; FL, SE1",2,975,80,"""Project Cirrus"""
185,1948,Sep,"LA, 1",1,983,70,-----
186,1948,Sep,"FL, SW3, SE2",3,940,115,-----
187,1948,Oct,"FL, SE2",2,975,90,-----
188,1949,Aug *,"NC, 1",1,980,-----,-----
189,1949,Aug,"FL, SE3",3,954,115,-----
190,1949,Oct,"TX, N2",2,965,95,-----
191,1950,Aug,"AL, 1",1,979,75,Baker
192,1950,Sep,"FL, NW3",3,960,105,Easy
193,1950,Oct,"FL, SE3",3,955,115,King
194,1952,Aug,"SC, 1",1,985,90,Able
195,1953,Aug,"NC, 1",1,987,90,Barbara
196,1953,Sep,"ME, 1",1,-----,70,Carol
197,1953,Sep,"FL, NW1",1,985,70,Florence
198,1954,Aug,"NY, 3; CT, 3; RI, 3; NC, 2",3,960,85,Carol
199,1954,Sep,"MA, 3; ME, 1",3,954,80,Edna
200,1954,Oct,"SC, 4; NC, 4; MD, 2",4,938,110,Hazel
201,1955,Aug,"NC, 3; VA, 1",3,962,80,Connie
202,1955,Aug,"NC, 1",1,987,75,Diane
203,1955,Sep,"NC, 3",3,960,90,Ione
204,1956,Sep,"LA, 2; FL, NW1",2,975,75,Flossy
205,1957,Jun,"TX, N4; LA, 4",4,945,125,Audrey
206,1959,Jul,"SC, 1",1,993,65,Cindy
207,1959,Jul,"TX, N1",1,984,75,Debra
208,1959,Sep,"SC, 3",3,950,105,Gracie
209,1960,Sep,"FL, SW4; NC, 3; NY, 3; FL, NE2;CT, 2; RI, 2; MA, 1; NH, 1; ME, 1",4,930,115,Donna
210,1960,Sep,"MS, 1",1,981,80,Ethel
211,1961,Sep,"TX, C4",4,931,125,Carla
212,1963,Sep,"TX, N1",1,996,65,Cindy
213,1964,Aug,"FL, SE2",2,968,90,Cleo
214,1964,Sep,"FL, NE2",2,966,100,Dora
215,1964,Oct,"LA, 3",3,950,100,Hilda
216,1964,Oct,"FL, SW2, SE2",2,974,110,Isbell
217,1965,Sep,"FL, SE3; LA, 3",3,948,135,Betsy
218,1966,Jun,"FL, NW2",2,982,80,Alma
219,1966,Oct,"FL, SW1",1,983,75,Inez
220,1967,Sep,"TX, S3",3,950,140,Beulah
221,1968,Oct,"FL, NW2, NE1",2,977,70,Gladys
222,1969,Aug,"LA, 5; MS, 5",5,900,150,Camille
223,1969,Sep,"ME, 1",1,979,95,Gerda
224,1970,Aug,"TX, S3",3,945,110,Celia
225,1971,Sep,"LA, 2",2,978,85,Edith
226,1971,Sep,"TX, C1",1,979,65,Fern
227,1971,Sep,"NC, 1",1,984,65,Ginger
228,1972,Jun,"FL, NW1; NY, 1; CT, 1",1,983,65,Agnes
229,1974,Sep,"LA, 3",3,937,130,Carmen
230,1975,Sep,"FL, NW3",3,955,110,Eloise
231,1976,Aug,"NY, 1",1,977,80,Belle
232,1977,Sep,"LA, 1",1,995,65,Babe
233,1979,Jul,"LA, 1",1,986,65,Bob
234,1979,Sep,"FL, SE2, NE2; GA, 2; SC, 2",2,970,80,David
235,1979,Sep,"AL, 3; MS, 3",3,946,115,Frederic
236,1980,Aug,"TX, S3",3,945,100,Allen
237,1983,Aug,"TX, N3",3,962,100,Alicia
238,1984,Sep *,"NC, 3",3,949,100,Diana
239,1985,Jul,"SC, 1",1,1002,65,Bob
240,1985,Aug,"LA, 1",1,987,80,Danny
241,1985,Sep,"AL, 3; MS, 3; FL, NW3",3,959,100,Elena
242,1985,Sep,"NC, 3; NY,3; CT,2; NH,2; ME,1",3,942,90,Gloria
243,1985,Oct,"LA, 1",1,971,75,Juan
244,1985,Nov,"FL, NW2",2,967,85,Kate
245,1986,Jun,"TX, N1",1,990,75,Bonnie
246,1986,Aug,"NC, 1",1,990,65,Charley
247,1987,Oct,"FL, SW1",1,993,65,Floyd
248,1988,Sep,"LA, 1",1,984,70,Florence
249,1989,Aug,"TX, N1",1,986,70,Chantal
250,1989,Sep,"SC, 4",4,934,120,Hugo
251,1989,Oct,"TX, N1",1,983,75,Jerry
252,1991,Aug,"RI, 2; MA, 2; NY, 2; CT, 2",2,962,90,Bob
253,1992,Aug,"FL, SE5, SW4; LA, 3",5,922,145,Andrew
254,1993,Aug *,"NC, 3",3,960,100,Emily
255,1995,Aug,"FL, NW2, SE1",2,973,85,Erin
256,1995,Oct,"FL, NW3",3,942,100,Opal
257,1996,Jul,"NC, 2",2,974,90,Bertha
258,1996,Sep,"NC, 3",3,954,100,Fran
259,1997,Jul,"LA, 1; AL, 1",1,984,70,Danny
260,1998,Aug,"NC, 2",2,964,95,Bonnie
261,1998,Sep,"FL, NW1",1,987,70,Earl
262,1998,Sep,"FL, SW2; MS, 2",2,964,90,Georges
263,1999,Aug,"TX, S3",3,951,100,Bret
264,1999,Sep,"NC, 2",2,956,90,Floyd
265,1999,Oct,"FL, SW1",1,987,70,Irene
266,2002,Oct,"LA, 1",1,963,80,Lili
267,2003,Jul,"TX, C1",1,979,80,Claudette
268,2003,Sep,"NC, 2; VA, 1",2,957,90,Isabel
269,2004,Aug *,"NC, 1",1,972,70,Alex
270,2004,Aug,"FL, SW4, SE1, NE1; SC,1; NC,1",4,941,130,Charley
271,2004,Aug,"SC, 1",1,985,65,Gaston
272,2004,Sep,"FL, SE2, SW1",2,960,90,Frances
273,2004,Sep,"AL, 3; FL, NW3",3,946,105,Ivan
274,2004,Sep,"FL, SE3, SW1, NW1",3,950,105,Jeanne
275,2005,July,"LA, 1",1,991,65,Cindy
276,2005,July,"FL NW3, AL, 2",3,946,105,Dennis
277,2005,Aug,"FL SE1;LA, 3;MS, 3;AL, 2",3,920,110,Katrina
278,2005,Sep,"TX NE3;LA, 2",3,937,100,Rita
279,2005,Oct,"FL SW3, SE1",3,950,105,Wilma
280,2007,Sep,"CTX1, LA1",1,985,80,Humberto
281,2008,July,ATX1,1,967,75,Dolly
282,2008,Sep,LA2,2,954,90,Gustav
283,2008,Sep,"CTX2, LA1",2,950,95,Ike
284,2011,Sep,NC1,1,952,75,Irene
285,2012,Aug,LA1,1,966,70,Isaac
286,2012,Oct *,NY1,1,945,70,Sandy
287,2014,Jul,NC2,2,973,85,Arthur
288,2016,Sep,FL NW1,1,981,70,Hermine
289,2016,Oct,"FL NE2,GA1,SC1,NC1",1,963,75,Matthew
